file	random_cam1_517nm
output	MPS/
ext	.fits
Jmin	2
Jmax	22
tol	0.05
maxnorm	2
maxit	30
w_cut	0.075
d	[ 0.     -1.5111]
a_d	[ 0.     -2.7408]
offset	0.0
tiltx0	0.0
tilty0	0.0
tiltx1	-0.07052335098484817
tilty1	0.015872999152183258
a4	-0.34937865943270424
a5	-0.1196073407452578
a6	0.3264743747872292
a7	-0.011920793550248464
a8	0.06595768091035056
a9	-0.13764087028560584
a10	0.10022174955143565
a11	-0.2968526153725214
a12	-0.17701823824285656
a13	0.05871879231286258
a14	0.0014853823740273407
a15	-0.020520172955701264
a16	0.061527650693444284
a17	-0.014097438969002306
a18	0.021908194148706733
a19	-0.00415209513616403
a20	0.10034454947381649
a21	0.006272883456799368
