file	random_cam1_517nm
output	MPS/
ext	.fits
Jmin	2
Jmax	22
tol	0.05
maxnorm	2
maxit	30
w_cut	0.075
d	[ 0.     -1.5111]
a_d	[ 0.     -2.7408]
offset	0.0
tiltx0	0.0
tilty0	0.0
tiltx1	-0.026602977402701178
tilty1	0.0013612518099302812
a4	-0.5097674255221311
a5	0.02049689393661435
a6	0.19175213810817998
a7	0.08574378933823014
a8	0.09775345403983651
a9	0.24647068245536977
a10	0.03881913252568614
a11	-0.38343750606690263
a12	-0.16660538070571831
a13	-0.051697169182239
a14	-0.11499707331932654
a15	0.15142103374603244
a16	0.06646353923040807
a17	0.03166009162139046
a18	0.029030112455548616
a19	-0.05857020220284486
a20	-0.0385489823144059
a21	0.0017215769170779408
