file	random_cam1_517nm
output	MPS/
ext	.fits
Jmin	2
Jmax	22
tol	0.05
maxnorm	2
maxit	30
w_cut	0.075
d	[ 0.     -1.5111]
a_d	[ 0.     -2.7408]
offset	0.0
tiltx0	0.0
tilty0	0.0
tiltx1	-0.010655091925643893
tilty1	-0.013915619641107902
a4	-0.41690320268338565
a5	-0.057177949125979115
a6	0.2417076387743242
a7	0.08292743462426333
a8	0.06534587920362724
a9	0.19265052597237997
a10	0.008714176800160916
a11	-0.38571489757886357
a12	-0.19120211311539959
a13	-0.033566605817188185
a14	-0.12168891968868725
a15	0.16472598414647743
a16	0.04274813138674871
a17	0.01790560461764659
a18	0.025111536677222705
a19	-0.05317361776710642
a20	0.0214380667600366
a21	0.05439391359147544
