file	random_cam1_517nm
output	MPS/
ext	.fits
Jmin	2
Jmax	22
tol	0.05
maxnorm	2
maxit	30
w_cut	0.075
d	[ 0.     -1.5111]
a_d	[ 0.     -2.7408]
offset	0.0
tiltx0	0.0
tilty0	0.0
tiltx1	-0.031770845847160896
tilty1	-0.011493336568429715
a4	-0.4508206047662112
a5	-0.1155859569927633
a6	0.24243399297532073
a7	0.04272293194235385
a8	0.1499805529365588
a9	0.203347056763788
a10	0.09845030607699137
a11	-0.3733018517664242
a12	-0.18381885481968568
a13	-0.03271602559658432
a14	-0.034302360887697725
a15	0.13125750799874422
a16	0.07467366670152091
a17	0.03858529744717114
a18	0.022279986641224415
a19	-0.04089490354841914
a20	0.006711246280383238
a21	0.004371304848686529
