file	random_cam1_517nm
output	MPS/
ext	.fits
Jmin	2
Jmax	22
tol	0.05
maxnorm	2
maxit	30
w_cut	0.075
d	[ 0.     -1.5111]
a_d	[ 0.     -2.7408]
offset	0.0
tiltx0	0.0
tilty0	0.0
tiltx1	-0.0064439805479823
tilty1	-0.004959935941516634
a4	-0.3513586630352997
a5	0.03465855213651497
a6	0.2360828246530509
a7	0.06622063592058353
a8	0.04186369091773555
a9	0.19317981962294753
a10	0.010564992728555895
a11	-0.36830189665933993
a12	-0.20355681361209488
a13	-0.01664212461828224
a14	-0.12068729498134087
a15	0.13771374763916686
a16	0.021149022703197178
a17	0.0036023836323940445
a18	0.01029967968798051
a19	-0.07089060990032027
a20	-0.030023276787283497
a21	0.008548461884082972
